home_planet,cryo_sleep,destination,age,vip,room_service,food_court,shopping_mall,spa,vr_deck,group,number_in_group,deck,num_in_cabin,side,total_spending,age_category,gender
Mars,False,TRAPPIST-1e,31.0,False,1226.0,0.0,1.0,0.0,0.0,1510,1,F,291,S,1227.0,middle_adult,1.0
Europa,False,TRAPPIST-1e,26.0,False,0.0,896.0,0.0,690.0,1.0,7253,1,D,225,P,1587.0,young_adult,1.0
Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,4714,1,G,765,P,0.0,young_adult,1.0
Earth,False,55 Cancri e,33.0,False,0.0,0.0,0.0,436.0,224.0,7727,1,E,507,S,660.0,middle_adult,0.0
Mars,False,TRAPPIST-1e,21.0,False,1097.0,0.0,80.0,589.0,0.0,3237,1,D,104,P,1766.0,young_adult,1.0
Earth,False,TRAPPIST-1e,21.0,False,0.0,541.0,0.0,143.0,0.0,6325,2,F,1209,S,684.0,young_adult,1.0
Earth,False,PSO J318.5-22,28.0,False,1.0,0.0,933.0,614.0,0.0,2959,1,F,620,P,1548.0,young_adult,1.0
Europa,True,55 Cancri e,27.0,True,0.0,0.0,0.0,0.0,0.0,4668,2,C,180,S,0.0,young_adult,1.0
Earth,False,PSO J318.5-22,24.0,False,0.0,266.0,1455.0,59.0,0.0,4472,1,G,734,P,1780.0,young_adult,0.0
Earth,False,TRAPPIST-1e,30.0,False,0.0,0.0,0.0,0.0,1150.0,7247,1,F,1396,S,1150.0,young_adult,0.0
Earth,False,55 Cancri e,20.0,False,470.0,128.0,0.0,0.0,9.0,1880,1,F,376,P,607.0,young_adult,0.0
Earth,False,55 Cancri e,24.0,False,0.0,0.0,1435.0,10.0,0.0,4231,1,F,791,S,1445.0,young_adult,0.0
Earth,False,TRAPPIST-1e,9.0,False,0.0,0.0,0.0,0.0,0.0,6787,1,F,1411,P,0.0,child,0.0
Mars,False,TRAPPIST-1e,27.0,False,994.0,0.0,26.0,1.0,0.0,4473,2,E,292,S,1021.0,young_adult,1.0
Europa,True,55 Cancri e,17.0,False,0.0,0.0,0.0,0.0,0.0,5957,1,B,203,P,0.0,young_adult,1.0
Earth,True,TRAPPIST-1e,5.0,False,0.0,0.0,0.0,0.0,0.0,6718,2,G,1088,P,0.0,child,0.0
Earth,False,55 Cancri e,12.0,False,0.0,0.0,0.0,0.0,0.0,6526,2,G,1056,P,0.0,child,0.0
Europa,True,TRAPPIST-1e,43.0,False,0.0,0.0,0.0,0.0,0.0,6991,2,B,233,P,0.0,middle_adult,1.0
Europa,False,TRAPPIST-1e,25.0,False,0.0,4.0,0.0,1525.0,475.0,6674,5,E,426,P,2004.0,young_adult,0.0
Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,200,1,G,31,P,0.0,child,0.0
Earth,True,55 Cancri e,21.0,False,0.0,0.0,0.0,0.0,0.0,7047,1,G,1152,S,0.0,young_adult,0.0
Mars,False,TRAPPIST-1e,31.0,False,0.0,0.0,97.0,0.0,0.0,141,1,F,30,P,97.0,middle_adult,1.0
Mars,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,8972,1,F,1736,S,0.0,middle_adult,1.0
Earth,True,PSO J318.5-22,38.0,False,0.0,0.0,0.0,0.0,0.0,2739,1,G,442,P,0.0,middle_adult,0.0
Earth,False,55 Cancri e,36.0,False,0.0,1808.0,0.0,344.0,0.0,5067,1,F,964,S,2152.0,middle_adult,1.0
Europa,False,55 Cancri e,39.0,False,0.0,5212.0,2.0,118.0,61.0,1148,4,F,0,S,5393.0,middle_adult,1.0
Earth,False,TRAPPIST-1e,59.0,False,0.0,0.0,0.0,0.0,755.0,1447,1,G,227,P,755.0,old_adult,0.0
Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,1,1,B,0,P,0.0,middle_adult,1.0
Mars,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,2269,1,F,458,P,0.0,young_adult,1.0
Earth,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,6611,2,G,1069,P,0.0,old_adult,0.0
Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,3305,1,D,106,P,0.0,middle_adult,1.0
Earth,True,55 Cancri e,25.0,False,0.0,0.0,0.0,0.0,0.0,1634,1,G,253,S,0.0,young_adult,1.0
Earth,False,55 Cancri e,0.0,False,0.0,0.0,0.0,0.0,0.0,8147,4,G,1317,P,0.0,child,0.0
Earth,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,5206,1,G,841,P,0.0,young_adult,0.0
Earth,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,1520,1,G,235,S,0.0,middle_adult,0.0
Earth,False,TRAPPIST-1e,70.0,False,28.0,0.0,0.0,672.0,104.0,6946,1,F,1439,P,804.0,old_adult,0.0
Earth,True,55 Cancri e,23.0,False,0.0,0.0,0.0,0.0,0.0,1922,1,G,303,S,0.0,young_adult,1.0
Earth,False,TRAPPIST-1e,74.0,False,0.0,193.0,581.0,0.0,0.0,3430,1,G,551,S,774.0,old_adult,0.0
Earth,False,55 Cancri e,42.0,False,642.0,282.0,0.0,0.0,0.0,4995,1,G,807,P,924.0,middle_adult,0.0
Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,170,1,E,10,S,788.0,young_adult,0.0
Europa,False,TRAPPIST-1e,38.0,False,20.0,3960.0,153.0,280.0,1674.0,5411,1,B,206,S,6087.0,middle_adult,1.0
Europa,True,55 Cancri e,56.0,False,0.0,0.0,0.0,0.0,0.0,5112,1,C,198,S,0.0,old_adult,1.0
Europa,False,TRAPPIST-1e,28.0,False,29.0,394.0,0.0,712.0,4360.0,5111,2,B,171,P,5495.0,young_adult,0.0
