HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,AgeCategory,GroupCategory,NumInGroup,Deck,Side,CabinNumberCategory,IsMale,Transported
Europa,0,TRAPPIST-1e,39.0,0,0.0,0.0,0.0,0.0,0.0,adult,a,1,B,P,a,1,False
Earth,0,TRAPPIST-1e,24.0,0,4.700480365792417,2.302585092994046,3.258096538021482,6.309918278226516,3.8066624897703196,adult,a,1,F,S,a,0,True
Europa,0,TRAPPIST-1e,58.0,1,3.784189633918261,8.182279739259018,0.0,8.812248018197431,3.912023005428146,old,a,1,A,S,a,1,False
Europa,0,TRAPPIST-1e,33.0,0,0.0,7.157735484249907,5.918893854273146,8.110727582974489,5.267858159063328,adult,a,2,A,S,a,1,False
Earth,0,TRAPPIST-1e,16.0,0,5.717027701406222,4.2626798770413155,5.0238805208462765,6.338594078203183,1.0986122886681098,child,a,1,F,S,a,0,True
Earth,0,PSO J318.5-22,44.0,0,0.0,6.182084906716632,0.0,5.676753802268282,0.0,old,a,1,F,P,a,0,True
Earth,0,TRAPPIST-1e,26.0,0,3.7612001156935624,7.3395376954076745,1.3862943611198906,0.0,0.0,adult,a,1,F,S,a,1,True
Earth,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,adult,a,2,G,S,a,0,True
Earth,0,TRAPPIST-1e,35.0,0,0.0,6.666956792429207,2.8903717578961645,5.37989735354046,0.0,adult,a,1,F,S,a,0,True
Europa,1,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0,child,a,1,B,P,a,1,True
Europa,1,TRAPPIST-1e,34.0,0,0.0,0.0,0.0,0.0,0.0,adult,a,2,B,P,a,1,True
Europa,0,55 Cancri e,45.0,0,3.6888794541139363,8.895081531754167,6.380122536899765,4.709530201312334,4.8283137373023015,old,a,3,B,P,a,0,True
Mars,0,TRAPPIST-1e,32.0,0,4.30406509320417,0.0,7.024649030453636,0.0,4.736198448394496,adult,a,1,F,P,a,1,True
Earth,0,TRAPPIST-1e,48.0,0,6.579251212010101,0.6931471805599453,4.189654742026425,0.0,3.2188758248682006,old,a,1,G,S,a,0,False
Earth,0,TRAPPIST-1e,28.0,0,2.1972245773362196,6.882437470997847,2.5649493574615367,1.0986122886681098,2.0794415416798357,adult,a,1,F,P,a,0,True
Earth,0,TRAPPIST-1e,31.0,0,3.4965075614664802,0.0,6.776506992372183,0.0,0.0,adult,a,1,F,P,a,0,False
Mars,0,55 Cancri e,27.0,0,7.160069207596127,4.812184355372417,5.8664680569332965,0.0,0.0,adult,a,1,F,P,a,1,False
Earth,0,55 Cancri e,24.0,0,0.0,0.6931471805599453,0.0,0.0,6.45833828334479,adult,a,1,F,P,a,0,False
Mars,1,TRAPPIST-1e,45.0,0,0.0,0.0,0.0,0.0,0.0,old,a,1,F,P,a,1,True
Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,child,a,1,G,P,a,0,True
Earth,0,55 Cancri e,14.0,0,6.023447592961033,0.0,0.6931471805599453,0.0,6.522092798170152,child,a,2,F,P,a,0,False
Earth,1,TRAPPIST-1e,1.0,0,0.0,0.0,0.0,0.0,0.0,child,a,1,E,S,a,0,False
Earth,1,55 Cancri e,49.0,0,0.0,0.0,0.0,0.0,0.0,old,a,2,E,S,a,0,False
Earth,1,55 Cancri e,29.0,0,0.0,0.0,0.0,0.0,0.0,adult,a,3,E,S,a,1,False
Earth,0,TRAPPIST-1e,10.0,0,0.0,0.0,0.0,0.0,0.0,child,a,4,E,S,a,0,True
Earth,1,PSO J318.5-22,1.0,0,0.0,0.0,0.0,0.0,0.0,child,a,5,E,S,a,1,False
Earth,0,TRAPPIST-1e,7.0,0,0.0,0.0,0.0,0.0,0.0,child,a,6,E,S,a,0,False
Mars,0,TRAPPIST-1e,21.0,0,6.8885724595653635,1.0986122886681098,4.248495242049359,0.0,0.0,adult,a,1,D,P,a,1,False
Europa,1,TRAPPIST-1e,62.0,0,0.0,0.0,0.0,0.0,0.0,old,a,1,C,S,a,1,True
Earth,0,TRAPPIST-1e,15.0,0,0.0,5.420534999272286,0.0,6.906754778648554,0.0,child,a,1,F,S,a,1,False
Europa,0,55 Cancri e,34.0,0,3.1354942159291497,8.711772645605693,0.0,7.271703706887368,5.796057750765372,adult,a,1,C,P,a,0,False
